ALL_DATE,Region,SKU,Type,QTY
01-01-2021,Hyderabad,SKU1,Sales,768
01-02-2021,Hyderabad,SKU1,Sales,803
01-03-2021,Hyderabad,SKU1,Sales,879
01-04-2021,Hyderabad,SKU1,Sales,132
01-05-2021,Hyderabad,SKU1,Sales,123
01-06-2021,Hyderabad,SKU1,Sales,356
01-07-2021,Hyderabad,SKU1,Sales,462
01-08-2021,Hyderabad,SKU1,Sales,446
01-09-2021,Hyderabad,SKU1,Sales,392
01-10-2021,Hyderabad,SKU1,Sales,673
01-11-2021,Hyderabad,SKU1,Sales,477
01-12-2021,Hyderabad,SKU1,Sales,1534
01-01-2022,Hyderabad,SKU1,Sales,771
01-02-2022,Hyderabad,SKU1,Sales,770
01-03-2022,Hyderabad,SKU1,Sales,753
01-04-2022,Hyderabad,SKU1,Sales,806
01-05-2022,Hyderabad,SKU1,Sales,533
01-06-2022,Hyderabad,SKU1,Sales,412
01-07-2022,Hyderabad,SKU1,Sales,571
01-08-2022,Hyderabad,SKU1,Sales,1047
01-09-2022,Hyderabad,SKU1,Sales,1884
01-10-2022,Hyderabad,SKU1,Sales,1840
01-11-2022,Hyderabad,SKU1,Sales,1660
01-12-2022,Hyderabad,SKU1,Sales,1815
01-01-2023,Hyderabad,SKU1,Sales,1217
01-02-2023,Hyderabad,SKU1,Sales,1173
01-03-2023,Hyderabad,SKU1,Sales,1146
01-04-2023,Hyderabad,SKU1,Sales,917
01-05-2023,Hyderabad,SKU1,Sales,1352
01-06-2023,Hyderabad,SKU1,Sales,1890
01-07-2023,Hyderabad,SKU1,Sales,2158
01-08-2023,Hyderabad,SKU1,Sales,2717
01-09-2023,Hyderabad,SKU1,Sales,2929
01-10-2023,Hyderabad,SKU1,Sales,3100
01-11-2023,Hyderabad,SKU1,Sales,3339
01-12-2023,Hyderabad,SKU1,Sales,3729
