DATE,Region,SKU,Type,QTY
01-01-2021,DR,SKU14,Sales,768.13
01-02-2021,DR,SKU14,Sales,802.64
01-03-2021,DR,SKU14,Sales,879.21
01-04-2021,DR,SKU14,Sales,131.58
01-05-2021,DR,SKU14,Sales,123.08
01-06-2021,DR,SKU14,Sales,355.78
01-07-2021,DR,SKU14,Sales,462.13
01-08-2021,DR,SKU14,Sales,
01-09-2021,DR,SKU14,Sales,392.43
01-10-2021,DR,SKU14,Sales,0
01-11-2021,DR,SKU14,Sales,477.02
01-12-2021,DR,SKU14,Sales,1533.84
01-01-2022,DR,SKU14,Sales,771.07
01-02-2022,DR,SKU14,Sales,770.5
01-03-2022,DR,SKU14,Sales,753.38
01-04-2022,DR,SKU14,Sales,806.34
01-05-2022,DR,SKU14,Sales,533.45
01-06-2022,DR,SKU14,Sales,412.25
01-07-2022,DR,SKU14,Sales,571.16
01-08-2022,DR,SKU14,Sales,1047.07
01-09-2022,DR,SKU14,Sales,1884.13
01-10-2022,DR,SKU14,Sales,1839.67
01-11-2022,DR,SKU14,Sales,1660
01-12-2022,DR,SKU14,Sales,1815.4
01-01-2023,DR,SKU14,Sales,1217.5
01-02-2023,DR,SKU14,Sales,1173.2
01-03-2023,DR,SKU14,Sales,1146.46
01-04-2023,DR,SKU14,Sales,917.09
01-05-2023,DR,SKU14,Sales,1352.08
01-06-2023,DR,SKU14,Sales,1890.11
01-07-2023,DR,SKU14,Sales,2158.34
01-08-2023,DR,SKU14,Sales,2717.38
01-09-2023,DR,SKU14,Sales,2929.44
01-10-2023,DR,SKU14,Sales,3100.34
01-11-2023,DR,SKU14,Sales,3339.38
01-12-2023,DR,SKU14,Sales,3729.44
