Date,Region,SKU,Type,Demand
01-01-2021,Hyderabad,SKU1,Sales,768.128
01-02-2021,Hyderabad,SKU1,Sales,802.638
01-03-2021,Hyderabad,SKU1,Sales,879.206
01-04-2021,Hyderabad,SKU1,Sales,131.58
01-05-2021,Hyderabad,SKU1,Sales,123.08
01-06-2021,Hyderabad,SKU1,Sales,355.776
01-07-2021,Hyderabad,SKU1,Sales,462.128
01-08-2021,Hyderabad,SKU1,Sales,446.386
01-09-2021,Hyderabad,SKU1,Sales,392.428
01-10-2021,Hyderabad,SKU1,Sales,673.2
01-11-2021,Hyderabad,SKU1,Sales,477.02
01-12-2021,Hyderabad,SKU1,Sales,1533.8413
01-01-2022,Hyderabad,SKU1,Sales,771.0732
01-02-2022,Hyderabad,SKU1,Sales,770.4974
01-03-2022,Hyderabad,SKU1,Sales,753.3831
01-04-2022,Hyderabad,SKU1,Sales,806.3439
01-05-2022,Hyderabad,SKU1,Sales,533.4487
01-06-2022,Hyderabad,SKU1,Sales,412.2502
01-07-2022,Hyderabad,SKU1,Sales,571.1603
01-08-2022,Hyderabad,SKU1,Sales,1047.0679
01-09-2022,Hyderabad,SKU1,Sales,1884.1296
01-10-2022,Hyderabad,SKU1,Sales,1839.6711
01-11-2022,Hyderabad,SKU1,Sales,1659.9991
01-12-2022,Hyderabad,SKU1,Sales,1815.3984
01-01-2023,Hyderabad,SKU1,Sales,1217.4972
01-02-2023,Hyderabad,SKU1,Sales,1173.2031
01-03-2023,Hyderabad,SKU1,Sales,1146.4621
01-04-2023,Hyderabad,SKU1,Sales,917.0929
01-05-2023,Hyderabad,SKU1,Sales,1352.0799
01-06-2023,Hyderabad,SKU1,Sales,1890.1087
01-07-2023,Hyderabad,SKU1,Sales,2158.3416
01-08-2023,Hyderabad,SKU1,Sales,2717.3794
01-09-2023,Hyderabad,SKU1,Sales,2929.4423
01-10-2023,Hyderabad,SKU1,Sales,3100.3416
01-11-2023,Hyderabad,SKU1,Sales,3339.3794
01-12-2023,Hyderabad,SKU1,Sales,3729.4423
